Name in Database,Desired Style Name,Other Alternate Names,,,,,,,,
Abbey Tripel,Abbey Tripel,,,,,,,,,
Adjunct Lager,Adjunct Lager,,,,,,,,,
Ale,Ale,,,,,,,,,
Altbier,Altbier,,,,,,,,,
"Amber, Red, and Brown Ales - Altbier",Altbier,,,,,,,,,
None - Altbier,Altbier,Dusseldorf Alt,,,,,,,,
Amber Ale,Amber Ale,,,,,,,,,
"Amber, Red, and Brown Ales - American Amber Ale",American Amber Ale,,,,,,,,,
Red Ale - American Amber / Red,American Amber Ale,American Red Ale,,,,,,,,
American Amber Lager,American Amber Lager,,,,,,,,,
Lager - American Amber / Red,American Amber Lager,,,,,,,,,
American Barleywine,American Barleywine,,,,,,,,,
American Blonde Ale,American Blonde Ale,,,,,,,,,
"Amber, Red, and Brown Ales - American Brown Ale",American Brown Ale,,,,,,,,,
American Brown Ale,American Brown Ale,,,,,,,,,
Brown Ale - American,American Brown Ale,,,,,,,,,
American Imperial IPA,American Imperial IPA,American Double IPA,American Imperial India Pale Ale,American Double India Pale Ale,,,,,,
American Imperial Stout,American Imperial Stout,,,,,,,,,
Stout - American Imperial / Double,American Imperial Stout,American Double Stout,,,,,,,,
American IPA,American IPA,American India Pale Ale,,,,,,,,
IPA - American,American IPA,,,,,,,,,
IPAs - American,American IPA,,,,,,,,,
Pilsners and Pale Lagers - American Lager,American Lager,,,,,,,,,
Lager - American Light,American Light Lager,,,,,,,,,
Pilsners and Pale Lagers - American Light Lager,American Light Lager,,,,,,,,,
American Pale Ale,American Pale Ale,,,,,,,,,
Blonde and Pale Ales - American Pale Ale,American Pale Ale,,,,,,,,,
Pale Ale - American,American Pale Ale,APA,,,,,,,,
American Pale Lager,American Pale Lager,,,,,,,,,
American Pale Wheat Ale,American Pale Wheat Ale,,,,,,,,,
Pale Wheat Ale - American,American Pale Wheat Ale,,,,,,,,,
American Porter,American Porter,,,,,,,,,
Porter - American,American Porter,,,,,,,,,
Porters and Stouts - American Porter,American Porter,,,,,,,,,
American Red Ale,American Red Ale,American Amber Ale,,,,,,,,
Porters and Stouts - American Stout,American Stout,,,,,,,,,
Stout - American,American Stout,,,,,,,,,
American Strong Ale,American Strong Ale,,,,,,,,,
Strong Ale - American,American Strong Ale,,,,,,,,,
Strong Ales - American Strong Ale,American Strong Ale,,,,,,,,,
Wheat Beers - American Wheat Beer,American Wheat Beer,,,,,,,,,
American Wild Ale,American Wild Ale,Sour (Wild Ale),,,,,,,,
Apple Cider,Apple Cider,,,,,,,,,
Baltic Porter,Baltic Porter,,,,,,,,,
Porter - Baltic,Baltic Porter,,,,,,,,,
Porters and Stouts - Baltic Porter,Baltic Porter,,,,,,,,,
Barleywine,Barleywine,,,,,,,,,
Blonde and Pale Ales - Barrel-Aged Black Saison,Barrel-Aged Black Saison,Barrel-Aged Black Farmhouse Ale,,,,,,,,
Barrel-Aged Imperial Stout,Barrel-Aged Imperial Stout,,,,,,,,,
None - Barrel Aged Old Ale,Barrel-Aged Old Ale,,,,,,,,,
Bavarian Pilsner,Bavarian Pilsner,Bavarian Pilsener,Bavarian (German) Pilsner,,,,,,,
Blonde Ale - Belgian Blonde / Golden,Belgian Blonde,,,,,,,,,
Belgian Dark Strong Ale,Belgian Dark Strong Ale,,,,,,,,,
Belgian Strong Dark Ale,Belgian Dark Strong Ale,,,,,,,,,
None - Belgian Strong Dark Ale,Belgian Dark Strong Ale,,,,,,,,,
Strong Ales - Belgian Dark Strong Ale,Belgian Dark Strong Ale,Belgian Quadrupel (Dark Strong),Belgian Quadruple (Dark Strong),,,,,,,
"Amber, Red, and Brown Ales - Belgian Dubbel",Belgian Dubbel,Belgian Dubble,Belgian Double,,,,,,,
Belgian Dubbel,Belgian Dubbel,,,,,,,,,
None - Belgian Dubbel,Belgian Dubbel,,,,,,,,,
Belgian Imperial IPA,Belgian Imperial IPA,Belgian Double IPA,Belgian Imperial India Pale Ale,Belgian Double India Pale Ale,,,,,,
IPA - Belgian,Belgian IPA,Belgian India Pale Ale,,,,,,,,
Belgian Pale Ale,Belgian Pale Ale,BPA,,,,,,,,
Blonde and Pale Ales - Belgian Pale Ale,Belgian Pale Ale,,,,,,,,,
None - Belgian Quad,Belgian Quadrupel,Belgian Quadruple,,,,,,,,
Belgian Strong Ale,Belgian Strong Ale,,,,,,,,,
Belgian Strong Pale Ale,Belgian Strong Pale Ale,,,,,,,,,
Belgian Tripel,Belgian Tripel,Trippel,,,,,,,,
None - Belgian Tripel,Belgian Tripel,,,,,,,,,
Strong Ales - Belgian Tripel,Belgian Tripel,,,,,,,,,
Belgian Winter Ale,Belgian Winter Ale,,,,,,,,,
Belgian Wit,Belgian Wit,,,,,,,,,
Belgian Style Quadrupel,Belgian-Style Quadrupel,Belgian-Style Quadruple,,,,,,,,
Belgian Style Tripel,Belgian-Style Tripel,Belgian-Style Trippel,,,,,,,,
Berliner Weisse,Berliner Weisse,Sour (Berliner Weisse),,,,,,,,
Sour - Berliner Weisse,Berliner Weisse,,,,,,,,,
Sour and Fruit Beers - Berliner Weisse,Berliner Weisse,,,,,,,,,
None - Bière de Champagne / Bière Brut,Bière de Champagne / Bière Brut,Biere de Champagne,Biere Brut,,,,,,,
None - Bière de Garde,Bière de Garde,Biere de Garde,,,,,,,,
Black IPA,Black IPA,Black India Pale Ale,Cascadian Dark Ale,CDA,,,,,,
IPA - Black / Cascadian Dark Ale,Black IPA,,,,,,,,,
Blonde,Blonde Ale,,,,,,,,,
Blonde and Pale Ales - Blonde Ale,Blonde Ale,,,,,,,,,
None - Blonde Ale,Blonde Ale,,,,,,,,,
Blood Orange Cider,Blood Orange Cider,,,,,,,,,
Bock - Single / Traditional,Bock,,,,,,,,,
Porters and Stouts - Bourbon Barrel Stout,Bourbon Barrel-Aged Stout,,,,,,,,,
Sour and Fruit Beers - Brett Beer,Brett Bier,,,,,,,,,
Blonde and Pale Ales - British Golden Ale,British Golden Ale,,,,,,,,,
Brown Ale,Brown Ale,,,,,,,,,
California Common,California Common,,,,,,,,,
Cider,Cider,,,,,,,,,
Cider - Other,Cider,,,,,,,,,
Ciders and Meads - Common Cider,Cider,,,,,,,,,
Hard Cider,Cider,,,,,,,,,
Coffee Stout,Coffee Stout,,,,,,,,,
Blonde and Pale Ales - Cream Ale,Cream Ale,Lawn Mower Beer,,,,,,,,
Cream Ale,Cream Ale,,,,,,,,,
None - Cream Ale,Cream Ale,,,,,,,,,
Mead - Cyser,Cyser,Mead (Cyser),,,,,,,,
Czech Pilsener,Czech Pilsner,,,,,,,,,
Czech Pilsner,Czech Pilsner,,,,,,,,,
Dark Lager,Dark Lager,,,,,,,,,
"Amber, Red, and Brown Ales - Dark Mild",Dark Mild,,,,,,,,,
Dark Saison,Dark Saison,,,,,,,,,
Bock - Doppelbock,Doppelbock,,,,,,,,,
Doppelbock,Doppelbock,,,,,,,,,
Dry Irish Stout,Dry Irish Stout,,,,,,,,,
Irish Dry Stout,Dry Irish Stout,,,,,,,,,
Stout - Irish Dry,Dry Irish Stout,,,,,,,,,
Ciders and Meads - Dry Mead,Dry Mead,,,,,,,,,
Dubbel,Dubbel,Dubble,Double,,,,,,,
Wheat Beers - Dunkles Weissbier,Dunkles Weissbeer,,,,,,,,,
Brown Ale - English,English Brown Ale,,,,,,,,,
English Brown Ale,English Brown Ale,,,,,,,,,
English IPA,English IPA,,,,,,,,,
English Style Mild Ale,English Mild,,,,,,,,,
None - English Mild Ale,English Mild,,,,,,,,,
Pale Ale - English,English Pale Ale,,,,,,,,,
English Porter,English Porter,,,,,,,,,
Porters and Stouts - English Porter,English Porter,,,,,,,,,
None - Extra Special / Strong Bitter,ESB,Extra Special Bitter,Extra Strong Bitter,,,,,,,
Euro Pale Lager,European Pale Lager,,,,,,,,,
ESB,Extra Special Bitter (ESB),,,,,,,,,
Festbier,Festbier,Oktoberfest (Festbier),Marzen (Festbier),Märzen (Festbier),Octoberfest (Festbier),Maerzen (Festbier),,,,
Flanders Red,Flanders Red,,,,,,,,,
Flanders Red Ale,Flanders Red,,,,,,,,,
Sour - Flanders Red Ale,Flanders Red,,,,,,,,,
Sour and Fruit Beers - Flanders Red Ale,Flanders Red,,,,,,,,,
Fruit Beer,Fruit Beer,,,,,,,,,
None - Fruit Beer,Fruit Beer,,,,,,,,,
Sour and Fruit Beers - Fruit Beer,Fruit Beer,,,,,,,,,
Cider - Other Fruit,Fruit Cider,,,,,,,,,
Ciders and Meads - Fruit Cider,Fruit Cider,,,,,,,,,
Lambic - Fruit,Fruit Lambic,,,,,,,,,
German Pilsener,German Pilsner,,,,,,,,,
Pilsner - German,German Pilsner,,,,,,,,,
Pilsners and Pale Lagers - German Pils,German Pilsner,,,,,,,,,
German-style Pilsner,German-Style Pilsner,,,,,,,,,
Ginger Beer,Ginger Beer,,,,,,,,,
Gluten Free,Gluten-Free Beer,GF Beer,,,,,,,,
Golden Ale,Golden Ale,,,,,,,,,
None - Golden Ale,Golden Ale,,,,,,,,,
Gose,Gose,,,,,,,,,
Sour - Gose,Gose,,,,,,,,,
Sour and Fruit Beers - Gose,Gose,Sour (Gose),,,,,,,,
Blonde and Pale Ales - Hazy Wheat Pale Ale,Hazy Wheat Pale Ale,,,,,,,,,
Hefe Weizen,Hefeweizen,,,,,,,,,
Hefeweizen,Hefeweizen,Heffeweizen,,,,,,,,
None - Hefeweizen,Hefeweizen,,,,,,,,,
Red Ale - Imperial / Double,Imperial Amber Ale,Imperial Red Ale,Double Red Ale,Double Amber Ale,,,,,,
